Date,Group,Time,Age,Sex,Juvenile age,EA mins,FO mins,RE mins,SO mins,TR mins,Total mins,EA Div Total,FO Div Total,RE Div Total,SO Div Total,TR Div Total
06/15/2017,A,10:38:00 AM,JV,F,,0,0,2,1,2,5,0,0,0.4,0.2,0.4
06/15/2017,A,11:18:00 AM,AF,F ,,1,3,0,0,3,7,0.142857142857143,0.428571428571429,0,0,0.428571428571429
06/15/2017,A,11:27:00 AM,AF,F,,1,6,2,0,0,9,0.111111111111111,0.666666666666667,0.222222222222222,0,0
06/16/2017,A,11:13:00 AM,JV,F,,1,0,1,0,5,7,0.142857142857143,0,0.142857142857143,0,0.714285714285714
06/16/2017,A,11:25:00 AM,AF,F,,3,5,1,0,0,9,0.333333333333333,0.555555555555556,0.111111111111111,0,0
06/16/2017,A,11:36:00 AM,JV,F,,1,6,1,0,1,9,0.111111111111111,0.666666666666667,0.111111111111111,0,0.111111111111111
06/16/2017,A,11:45:00 AM,JV,M,,1,1,1,0,2,5,0.2,0.2,0.2,0,0.4
06/16/2017,A,11:52:00 AM,AM,M,,0,3,0,0,6,9,0,0.333333333333333,0,0,0.666666666666667
06/16/2017,A,12:15:00 PM,JV,F,,0,0,1,0,4,5,0,0,0.2,0,0.8
06/16/2017,A,12:24:00 PM,AM,M,,1,0,4,0,2,7,0.142857142857143,0,0.571428571428571,0,0.285714285714286
06/16/2017,A,12:40:00 PM,AM,M,,0,3,0,0,2,5,0,0.6,0,0,0.4
06/17/2017,A,10:26:00 AM,AM,M,,0,2,1,0,5,8,0,0.25,0.125,0,0.625
06/17/2017,A,10:36:00 AM,JV,F,,0,2,4,0,1,7,0,0.285714285714286,0.571428571428571,0,0.142857142857143
06/17/2017,A,11:31:00 AM,AF,F,,0,0,5,0,2,7,0,0,0.714285714285714,0,0.285714285714286
06/17/2017,A,11:37:00 AM,JV,M,,0,1,1,0,3,5,0,0.2,0.2,0,0.6
06/17/2017,A,12:30:00 PM,AM,M,,0,0,1,0,4,5,0,0,0.2,0,0.8
06/19/2017,A,10:58:00 AM,AM,M,,0,4,0,0,1,5,0,0.8,0,0,0.2
06/19/2017,A,11:10:00 AM,AM,M,,1,0,2,0,2,5,0.2,0,0.4,0,0.4
06/19/2017,A,11:27:00 AM,AF,F,,2,1,1,0,1,5,0.4,0.2,0.2,0,0.2
06/19/2017,A,11:48:00 AM,JV,M,,1,1,1,0,6,9,0.111111111111111,0.111111111111111,0.111111111111111,0,0.666666666666667
06/19/2017,A,12:45:00 PM,AM,M,,2,1,2,0,2,7,0.285714285714286,0.142857142857143,0.285714285714286,0,0.285714285714286
06/19/2017,A,01:09:00 PM,JV,F,,0,1,6,0,2,9,0,0.111111111111111,0.666666666666667,0,0.222222222222222
06/19/2017,A,01:20:00 PM,JV,M,,3,0,0,0,2,5,0.6,0,0,0,0.4
06/21/2017,A,10:46:00 AM,AF,F,,3,1,2,0,1,7,0.428571428571429,0.142857142857143,0.285714285714286,0,0.142857142857143
06/21/2017,A,10:54:00 AM,JV,F,,0,0,2,0,7,9,0,0,0.222222222222222,0,0.777777777777778
06/21/2017,A,10:21:00 AM,AM,M,,1,0,3,0,2,6,0.166666666666667,0,0.5,0,0.333333333333333
06/21/2017,A,12:31:00 PM,AM,M,,0,2,2,0,1,5,0,0.4,0.4,0,0.2
06/21/2017,A,12:56:00 PM,JV,F,,1,0,2,2,1,6,0.166666666666667,0,0.333333333333333,0.333333333333333,0.166666666666667
06/21/2017,A,01:07:00 PM,JV,F,,2,1,2,0,2,7,0.285714285714286,0.142857142857143,0.285714285714286,0,0.285714285714286
06/21/2017,A,01:14:00 PM,JV,M,,0,0,4,0,1,5,0,0,0.8,0,0.2
06/21/2017,A,01:40:00 PM,AF,F,,0,0,5,0,3,8,0,0,0.625,0,0.375
06/23/2017,A,10:35:00 AM,JV,M,,0,0,8,0,0,8,0,0,1,0,0
06/23/2017,A,10:42:00 AM,JV,M,,1,2,2,0,3,8,0.125,0.25,0.25,0,0.375
06/23/2017,A,10:59:00 AM,AF,F,,0,0,5,0,2,7,0,0,0.714285714285714,0,0.285714285714286
06/23/2017,A,11:17:00 AM,JV,M,,0,1,3,0,1,5,0,0.2,0.6,0,0.2
06/23/2017,A,12:07:00 PM,AM,M,,0,0,6,0,3,9,0,0,0.666666666666667,0,0.333333333333333
06/23/2017,A,12:17:00 PM,AM,M,,0,1,2,0,3,6,0,0.166666666666667,0.333333333333333,0,0.5
06/23/2017,A,01:10:00 PM,AF,F,,0,4,3,0,3,10,0,0.4,0.3,0,0.3
06/26/2017,A,10:04:00 AM,AF,F,,0,8,2,0,0,10,0,0.8,0.2,0,0
06/26/2017,A,10:19:00 AM,AF,F,,0,4,1,0,1,6,0,0.666666666666667,0.166666666666667,0,0.166666666666667
06/26/2017,A,10:26:00 AM,AF,F,,0,4,1,0,3,8,0,0.5,0.125,0,0.375
06/26/2017,A,10:41:00 AM,AM,M,,5,1,0,0,0,6,0.833333333333333,0.166666666666667,0,0,0
06/26/2017,A,10:46:00 AM,AM,M,,1,2,5,0,2,10,0.1,0.2,0.5,0,0.2
06/26/2017,A,10:55:00 AM,AM,M,,0,3,2,0,4,9,0,0.333333333333333,0.222222222222222,0,0.444444444444444
06/26/2017,A,11:05:00 AM,AM,M,,0,1,5,0,2,8,0,0.125,0.625,0,0.25
06/26/2017,A,11:17:00 AM,AM,M,,0,1,1,0,4,6,0,0.166666666666667,0.166666666666667,0,0.666666666666667
06/26/2017,A,11:34:00 AM,AF,F,,3,0,1,0,2,6,0.5,0,0.166666666666667,0,0.333333333333333
06/26/2017,A,11:55:00 AM,AF,F,,0,1,0,0,4,5,0,0.2,0,0,0.8
06/27/2017,A,11:21:00 AM,AF,F,,0,2,3,0,1,6,0,0.333333333333333,0.5,0,0.166666666666667
06/27/2017,A,12:31:00 PM,AM,M,,0,1,4,0,1,6,0,0.166666666666667,0.666666666666667,0,0.166666666666667
06/27/2017,A,12:43:00 PM,AF,F,,0,0,1,0,4,5,0,0,0.2,0,0.8
06/27/2017,A,01:37:00 PM,AF,F,,0,2,1,0,2,5,0,0.4,0.2,0,0.4
06/28/2017,A,08:45:00 AM,AF,F,,0,2,2,0,1,5,0,0.4,0.4,0,0.2
06/28/2017,A,09:30:00 AM,AF,F,,0,1,0,0,4,5,0,0.2,0,0,0.8
06/28/2017,A,10:15:00 AM,AF,F,,0,0,1,0,4,5,0,0,0.2,0,0.8
07/04/2017,A,10:12:00 AM,AM,M,,0,4,1,0,2,7,0,0.571428571428571,0.142857142857143,0,0.285714285714286
07/04/2017,A,10:32:00 AM,JV,M,,3,1,1,0,1,6,0.5,0.166666666666667,0.166666666666667,0,0.166666666666667
07/04/2017,A,11:32:00 AM,JV,F,,0,2,3,0,4,9,0,0.222222222222222,0.333333333333333,0,0.444444444444444
07/04/2017,A,11:43:00 AM,AF,F,,1,0,2,0,2,5,0.2,0,0.4,0,0.4
07/05/2017,C,11:14:00 AM,AM,M,,0,1,2,0,2,5,0,0.2,0.4,0,0.4
07/05/2017,C,11:26:00 AM,AF,F,,0,5,3,0,1,9,0,0.555555555555556,0.333333333333333,0,0.111111111111111
07/06/2017,C,08:19:00 AM,AF,F,,2,1,2,0,2,7,0.285714285714286,0.142857142857143,0.285714285714286,0,0.285714285714286
07/06/2017,C,09:23:00 AM,JV,M,,3,5,0,0,2,10,0.3,0.5,0,0,0.2
07/06/2017,C,10:14:00 AM,AM,M,,0,0,2,0,3,5,0,0,0.4,0,0.6
07/06/2017,C,11:25:00 AM,JV,F,,1,0,1,0,3,5,0.2,0,0.2,0,0.6
07/06/2017,C,12:05:00 PM,JV,F,,0,0,4,0,2,6,0,0,0.666666666666667,0,0.333333333333333
07/06/2017,C,12:18:00 PM,AM,M,,0,0,2,2,1,5,0,0,0.4,0.4,0.2
07/06/2017,C,12:34:00 PM,AF,F,,3,1,3,0,0,7,0.428571428571429,0.142857142857143,0.428571428571429,0,0
07/07/2017,C,08:23:00 AM,AF,F,,1,3,2,0,3,9,0.111111111111111,0.333333333333333,0.222222222222222,0,0.333333333333333
07/07/2017,C,09:50:00 AM,AM,M,,0,1,2,3,3,9,0,0.111111111111111,0.222222222222222,0.333333333333333,0.333333333333333
07/10/2017,B,09:25:00 AM,AM,M,,0,1,2,1,1,5,0,0.2,0.4,0.2,0.2
07/10/2017,B,09:51:00 AM,AM,M,,1,1,0,2,1,5,0.2,0.2,0,0.4,0.2
07/10/2017,B,10:08:00 AM,AF,F,,1,2,1,0,2,6,0.166666666666667,0.333333333333333,0.166666666666667,0,0.333333333333333
07/10/2017,B,11:34:00 AM,JV,F,,1,0,3,0,1,5,0.2,0,0.6,0,0.2
07/10/2017,B,11:41:00 AM,JV,F,,0,1,3,0,1,5,0,0.2,0.6,0,0.2
07/10/2017,B,12:23:00 PM,AM,M,,0,1,5,0,1,7,0,0.142857142857143,0.714285714285714,0,0.142857142857143
07/13/2017,A,08:02:00 AM,JV,F,,0,2,2,0,3,7,0,0.285714285714286,0.285714285714286,0,0.428571428571429
07/13/2017,A,08:15:00 AM,AM,M,,0,4,0,0,3,7,0,0.571428571428571,0,0,0.428571428571429
07/13/2017,A,08:46:00 AM,AF,F,,0,2,3,0,1,6,0,0.333333333333333,0.5,0,0.166666666666667
07/13/2017,A,09:21:00 AM,JV,F,,2,4,1,0,2,9,0.222222222222222,0.444444444444444,0.111111111111111,0,0.222222222222222
07/13/2017,A,09:30:00 AM,JV,M,,3,0,1,1,4,9,0.333333333333333,0,0.111111111111111,0.111111111111111,0.444444444444444
07/13/2017,A,09:45:00 AM,AM,M,,1,3,2,0,2,8,0.125,0.375,0.25,0,0.25
07/13/2017,A,09:54:00 AM,JV,F,,0,2,0,2,3,7,0,0.285714285714286,0,0.285714285714286,0.428571428571429
07/13/2017,A,10:02:00 AM,AF,F,,1,2,0,0,3,6,0.166666666666667,0.333333333333333,0,0,0.5
07/13/2017,A,10:35:00 AM,JV,M,,0,0,1,4,1,6,0,0,0.166666666666667,0.666666666666667,0.166666666666667
07/13/2017,A,11:15:00 AM,JV,F,,1,1,5,0,1,8,0.125,0.125,0.625,0,0.125
07/13/2017,A,11:23:00 AM,AM,M,,0,0,6,1,0,7,0,0,0.857142857142857,0.142857142857143,0
07/13/2017,A,11:34:00 AM,JV,F,,2,0,2,1,1,6,0.333333333333333,0,0.333333333333333,0.166666666666667,0.166666666666667
07/13/2017,A,11:50:00 AM,JV,M,,0,0,3,0,4,7,0,0,0.428571428571429,0,0.571428571428571
07/15/2017,A,04:14:00 PM,JV,M,,2,2,0,0,2,6,0.333333333333333,0.333333333333333,0,0,0.333333333333333
07/17/2017,A,10:16:00 AM,AF,F,,1,0,3,0,2,6,0.166666666666667,0,0.5,0,0.333333333333333
07/17/2017,A,10:39:00 AM,JV,F,,1,0,2,0,3,6,0.166666666666667,0,0.333333333333333,0,0.5
07/17/2017,A,11:04:00 AM,AM,M,,0,0,5,0,3,8,0,0,0.625,0,0.375
07/17/2017,A,11:30:00 AM,AM,M,,0,3,1,0,3,7,0,0.428571428571429,0.142857142857143,0,0.428571428571429
07/17/2017,A,11:47:00 AM,JV,M,,1,2,2,1,0,6,0.166666666666667,0.333333333333333,0.333333333333333,0.166666666666667,0
07/17/2017,A,12:16:00 PM,AM,M,,0,0,1,2,3,6,0,0,0.166666666666667,0.333333333333333,0.5
07/17/2017,A,12:50:00 PM,AF,F,,4,1,1,0,0,6,0.666666666666667,0.166666666666667,0.166666666666667,0,0
07/17/2017,A,01:24:00 PM,JV,M,,1,4,0,0,0,5,0.2,0.8,0,0,0
07/18/2017,A,09:47:00 AM,JV,M,,0,1,0,0,4,5,0,0.2,0,0,0.8
07/18/2017,A,09:58:00 AM,AM,M,,0,0,3,0,4,7,0,0,0.428571428571429,0,0.571428571428571
07/18/2017,A,10:36:00 AM,JV,M,,1,0,6,0,0,7,0.142857142857143,0,0.857142857142857,0,0
07/18/2017,A,10:47:00 AM,AM,M,,0,0,4,0,0,4,0,0,1,0,0
07/18/2017,A,11:15:00 AM,JV,F,,0,1,2,0,2,5,0,0.2,0.4,0,0.4
07/18/2017,A,12:16:00 PM,JV,M,,0,0,1,1,3,5,0,0,0.2,0.2,0.6
07/18/2017,A,12:37:00 PM,JV,F,,0,2,2,0,1,5,0,0.4,0.4,0,0.2
07/19/2017,A,09:14:00 AM,AF,F,,0,0,2,2,2,6,0,0,0.333333333333333,0.333333333333333,0.333333333333333
07/19/2017,A,10:04:00 AM,AM,M,,0,0,3,0,2,5,0,0,0.6,0,0.4
07/19/2017,A,10:14:00 AM,AM,M,,4,2,1,0,1,8,0.5,0.25,0.125,0,0.125
07/19/2017,A,10:22:00 AM,JV,M,,3,2,0,0,0,5,0.6,0.4,0,0,0
07/19/2017,A,11:40:00 AM,AF,F,,1,1,5,0,2,9,0.111111111111111,0.111111111111111,0.555555555555556,0,0.222222222222222
07/19/2017,A,11:52:00 AM,AM,M,,0,0,6,0,0,6,0,0,1,0,0
07/19/2017,A,11:58:00 AM,AF,F,,0,0,9,0,0,9,0,0,1,0,0
07/19/2017,A,01:03:00 PM,AF,F,,1,0,7,0,2,10,0.1,0,0.7,0,0.2
07/19/2017,A,01:14:00 PM,AM,M,,1,2,3,1,1,8,0.125,0.25,0.375,0.125,0.125
07/19/2017,A,01:23:00 PM,AF,F,,0,4,2,0,1,7,0,0.571428571428571,0.285714285714286,0,0.142857142857143
07/19/2017,A,01:30:00 PM,AF,F,,0,0,8,0,1,9,0,0,0.888888888888889,0,0.111111111111111
07/20/2017,B,11:20:00 AM,AF,F,,0,0,1,0,4,5,0,0,0.2,0,0.8
07/20/2017,B,12:19:00 PM,AM,M,,3,3,1,0,0,7,0.428571428571429,0.428571428571429,0.142857142857143,0,0
07/20/2017,B,12:39:00 PM,AM,M,,0,0,3,0,2,5,0,0,0.6,0,0.4
07/20/2017,B,01:02:00 PM,AM,M,,1,0,4,0,1,6,0.166666666666667,0,0.666666666666667,0,0.166666666666667
07/20/2017,B,01:14:00 PM,AF,F,,2,0,7,0,1,10,0.2,0,0.7,0,0.1
07/20/2017,B,01:23:00 PM,AF,F,,0,1,4,0,1,6,0,0.166666666666667,0.666666666666667,0,0.166666666666667
06/15/2017,A,11:14:00 AM,JV,F,J1,,,,,,,0.2,0.3,0,0.1,0.4
06/15/2017,A,11:40:00 AM,JV,F,J1,,,,,,,0,0.33,0.33,0,0.33
06/16/2017,A,10:42:00 AM,AM,M,,,,,,,,0.2,0.6,0,0,0.2
06/16/2017,A,11:11:00 AM,JV,F,J1,,,,,,,0.33,0.33,0,0,0.33
06/16/2017,A,11:24:00 AM,AM,M,,,,,,,,0.4,0.1,0.3,0,0.2
06/16/2017,A,11:43:00 AM,JV,M,J1,,,,,,,0,0.167,0.167,0.167,0.5
06/16/2017,A,12:14:00 PM,JV,M,J1,,,,,,,0.2,0.5,0,0.2,0.2
06/16/2017,A,12:20:00 PM,AM,M,,,,,,,,0.11,0.33,0.33,0,0.22
06/16/2017,A,01:06:00 AM,JV,M,J1,,,,,,,0.5,0.167,0.33,0,0
06/16/2017,A,01:30:00 AM,JV,M,J1,,,,,,,0.1,0.3,0.5,0,0.1
06/17/2017,A,10:19:00 AM,AM,M,,,,,,,,0,0,0.167,0,0.83
06/17/2017,A,10:37:00 AM,JV,M,J1,,,,,,,0,0.2,0.6,0,0.2
06/17/2017,A,10:56:00 AM,JV,M,J1,,,,,,,0.2,0.4,0.2,0,0.2
06/17/2017,A,11:09:00 AM,JV,F,J1,,,,,,,0.375,0.25,0.375,0,0
06/17/2017,A,11:29:00 AM,JV,M,J1,,,,,,,0,0.4,0,0,0.6
06/17/2017,A,11:46:00 AM,JV,F,J1,,,,,,,0,0.11,0.22,0.22,0.44
06/17/2017,A,12:08:00 PM,JV,M,J1,,,,,,,0.6,0,0,0,0.4
06/19/2017,A,11:36:00 AM,JV,F,J1,,,,,,,0.2,0.2,0.2,0,0.4
06/19/2017,A,12:15:00 PM,JV,M,J1,,,,,,,0,0,0.375,0,0.625
06/19/2017,A,12:44:00 PM,JV,F,J1,,,,,,,0,0.167,0.5,0,0.33
06/19/2017,A,01:10:00 AM,JV,F,J1,,,,,,,0.1,0.1,0.3,0,0.5
06/21/2017,A,10:28:00 AM,AM,M,,,,,,,,0.143,0.143,0.429,0,0.286
06/21/2017,A,11:25:00 AM,JV,F,J1,,,,,,,0,0.4,0.2,0,0.4
06/21/2017,A,11:47:00 AM,AM,M,,,,,,,,0,0.4,0.4,0,0.2
06/21/2017,A,12:24:00 PM,JV,M,J1,,,,,,,0.1,0.3,0.2,0,0.4
06/21/2017,A,12:57:00 PM,JV,M,J1,,,,,,,0,0.125,0.5,0,0.375
06/21/2017,A,01:07:00 AM,JV,F,J1,,,,,,,0.33,0.167,0.167,0,0.33
06/21/2017,A,02:01:00 AM,JV,M,J1,,,,,,,0,0.167,0.2,0,0.667
06/21/2017,A,02:11:00 AM,JV,M,J1,,,,,,,0,0.4,0,0.167,0.4
06/21/2017,A,02:27:00 AM,JV,M,J1,,,,,,,0.33,0.167,0.33,0,0.167
06/23/2017,A,10:44:00 AM,JV,M,J1,,,,,,,0.1,0.3,0.2,0,0.4
06/23/2017,A,11:03:00 AM,JV,M,J1,,,,,,,0.1,0.2,0.4,0,0.3
06/23/2017,A,11:15:00 AM,JV,F,J1,,,,,,,0.167,0.33,0.33,0,0.167
06/23/2017,A,11:30:00 AM,AM,M,,,,,,,,0.11,0.11,0.33,0,0.44
06/23/2017,A,12:06:00 PM,AM,M,,,,,,,,0,0.3,0.4,0,0.3
06/23/2017,A,12:17:00 PM,AM,M,,,,,,,,0,0,0.9,0,0.1
06/23/2017,A,01:14:00 AM,AM,M,,,,,,,,0.1,0.3,0.4,0,0.2
06/27/2017,A,11:19:00 AM,AM,M,,,,,,,,0.1,0.4,0.4,0,0.1
06/27/2017,A,12:05:00 PM,AM,M,,,,,,,,0,0.33,0.167,0,0.5
06/27/2017,A,12:27:00 PM,AM,M,,,,,,,,0.33,0.33,0.167,0,0.167
06/27/2017,A,12:48:00 PM,JV,M,J1,,,,,,,0.167,0.167,0.167,0.167,0.33
06/27/2017,A,12:59:00 PM,AM,M,,,,,,,,0,0.167,0.33,0,0.5
06/27/2017,A,01:39:00 AM,AM,M,,,,,,,,0,0.44,0.33,0,0.22
06/28/2017,B,11:22:00 AM,AM,M,,,,,,,,0,0.667,0,0,0.333
07/01/2017,B,11:43:00 AM,JV,F,J1,,,,,,,0.125,0.25,0.25,0,0.375
07/04/2017,A,09:45:00 AM,JV,M,J1,,,,,,,0,0.143,,0.571,0.286
07/04/2017,A,10:10:00 AM,JV,F,J1,,,,,,,0,0.6,0.2,0,0.2
07/04/2017,A,10:52:00 AM,JV,M,J1,,,,,,,0.111,0.556,0.222,0,0.111
07/04/2017,A,11:06:00 AM,AM,M,,,,,,,,0,0,0.8,0,0.2
07/04/2017,A,11:51:00 AM,JV,F,J1,,,,,,,0.167,0.333,0.167,0,0.333
07/04/2017,A,12:40:00 PM,AM,M,,,,,,,,0,0.111,0.889,0,0
07/05/2017,C,10:08:00 AM,AM,M,,,,,,,,0.2,0,0.4,0,0.4
07/05/2017,C,10:56:00 AM,JV,M,J1,,,,,,,0,0.25,0.375,0,0.375
