Date ,Goup,Time,Age,Sex,Juvenile age,AL mins,AF mins,AM mins,JV mins,Total mins,AL Div Total,AF Div Total,AM Div Total,JV Div Total
06/15/2017,A,10:38:00 AM,JV,F,,1,0,0,4,5,0.2,0,0,0.8
06/15/2017,A,11:18:00 AM,AF,F ,,2,1,0,4,7,0.285714285714286,0.142857142857143,0,0.571428571428571
06/15/2017,A,11:27:00 AM,AF,F,,3,4,0,1,9,0.333333333333333,0.444444444444444,0,0.111111111111111
06/16/2017,A,11:13:00 AM,JV,F,,1,1,0,5,7,0.142857142857143,0.142857142857143,0,0.714285714285714
06/16/2017,A,11:25:00 AM,AF,F,,0,2,6,1,9,0,0.222222222222222,0.666666666666667,0.111111111111111
06/16/2017,A,11:36:00 AM,JV,F,,1,0,3,5,9,0.111111111111111,0,0.333333333333333,0.555555555555556
06/16/2017,A,11:45:00 AM,JV,M,,1,0,1,3,5,0.2,0,0.2,0.6
06/16/2017,A,11:52:00 AM,AM,M,,1,3,0,3,9,0.111111111111111,0.333333333333333,0,0.333333333333333
06/16/2017,A,12:15:00 PM,JV,F,,0,1,0,2,5,0,0.2,0,0.4
06/16/2017,A,12:24:00 PM,AM,M,,0,3,2,2,7,0,0.428571428571429,0.285714285714286,0.285714285714286
06/16/2017,A,12:40:00 PM,AM,M,,1,0,3,1,5,0.2,0,0.6,0.2
06/17/2017,A,10:26:00 AM,AM,M,,5,0,3,0,8,0.625,0,0.375,0
06/17/2017,A,10:36:00 AM,JV,F,,4,1,0,2,7,0.571428571428571,0.142857142857143,0,0.285714285714286
06/17/2017,A,11:31:00 AM,AF,F,,2,3,0,2,7,0.285714285714286,0.428571428571429,0,0.285714285714286
06/17/2017,A,11:37:00 AM,JV,M,,0,0,0,5,5,0,0,0,1
06/17/2017,A,12:30:00 PM,AM,M,,4,0,0,0,5,0.8,0,0,0
06/19/2017,A,10:58:00 AM,AM,M,,0,1,1,2,5,0,0.2,0.2,0.4
06/19/2017,A,11:10:00 AM,AM,M,,4,0,1,0,5,0.8,0,0.2,0
06/19/2017,A,11:27:00 AM,AF,F,,0,4,0,1,5,0,0.8,0,0.2
06/19/2017,A,11:48:00 AM,JV,M,,3,2,0,3,9,0.333333333333333,0.222222222222222,0,0.333333333333333
06/19/2017,A,12:45:00 PM,AM,M,,2,4,1,0,7,0.285714285714286,0.571428571428571,0.142857142857143,0
06/19/2017,A,01:09:00 PM,JV,F,,2,0,1,4,9,0.222222222222222,0,0.111111111111111,0.444444444444444
06/19/2017,A,01:20:00 PM,JV,M,,1,0,0,4,5,0.2,0,0,0.8
06/21/2017,A,10:46:00 AM,AF,F,,0,2,3,2,7,0,0.285714285714286,0.428571428571429,0.285714285714286
06/21/2017,A,10:54:00 AM,JV,F,,8,1,0,0,9,0.888888888888889,0.111111111111111,0,0
06/21/2017,A,10:21:00 AM,AM,M,,3,1,2,0,6,0.5,0.166666666666667,0.333333333333333,0
06/21/2017,A,12:31:00 PM,AM,M,,3,0,0,2,5,0.6,0,0,0.4
06/21/2017,A,12:56:00 PM,JV,F,,0,2,0,4,6,0,0.333333333333333,0,0.666666666666667
06/21/2017,A,01:07:00 PM,JV,F,,1,1,0,5,7,0.142857142857143,0.142857142857143,0,0.714285714285714
06/21/2017,A,01:14:00 PM,JV,M,,0,0,0,5,5,0,0,0,1
06/21/2017,A,01:40:00 PM,AF,F,,2,3,1,1,8,0.25,0.375,0.125,0.125
06/23/2017,A,10:35:00 AM,JV,M,,1,0,5,1,8,0.125,0,0.625,0.125
06/23/2017,A,10:42:00 AM,JV,M,,0,0,0,6,8,0,0,0,0.75
06/23/2017,A,10:59:00 AM,AF,F,,2,1,0,4,7,0.285714285714286,0.142857142857143,0,0.571428571428571
06/23/2017,A,11:17:00 AM,JV,M,,0,0,0,5,5,0,0,0,1
06/23/2017,A,12:07:00 PM,AM,M,,0,0,0,9,9,0,0,0,1
06/23/2017,A,12:17:00 PM,AM,M,,1,2,0,1,6,0.166666666666667,0.333333333333333,0,0.166666666666667
06/23/2017,A,01:10:00 PM,AF,F,,1,2,1,6,10,0.1,0.2,0.1,0.6
06/26/2017,A,10:04:00 AM,AF,F,,8,0,0,2,10,0.8,0,0,0.2
06/26/2017,A,10:19:00 AM,AF,F,,0,6,0,0,6,0,1,0,0
06/26/2017,A,10:26:00 AM,AF,F,,4,4,0,0,8,0.5,0.5,0,0
06/26/2017,A,10:41:00 AM,AM,M,,2,0,4,0,6,0.333333333333333,0,0.666666666666667,0
06/26/2017,A,10:46:00 AM,AM,M,,7,0,3,0,10,0.7,0,0.3,0
06/26/2017,A,10:55:00 AM,AM,M,,2,0,5,2,9,0.222222222222222,0,0.555555555555556,0.222222222222222
06/26/2017,A,11:05:00 AM,AM,M,,4,0,4,0,8,0.5,0,0.5,0
06/26/2017,A,11:17:00 AM,AM,M,,1,0,3,1,6,0.166666666666667,0,0.5,0.166666666666667
06/26/2017,A,11:34:00 AM,AF,F,,0,0,0,6,6,0,0,0,1
06/26/2017,A,11:55:00 AM,AF,F,,2,0,0,3,5,0.4,0,0,0.6
06/27/2017,A,11:21:00 AM,AF,F,,3,2,0,1,6,0.5,0.333333333333333,0,0.166666666666667
06/27/2017,A,12:31:00 PM,AM,M,,0,2,1,3,6,0,0.333333333333333,0.166666666666667,0.5
06/27/2017,A,12:43:00 PM,AF,F,,2,0,0,3,5,0.4,0,0,0.6
06/27/2017,A,01:37:00 PM,AF,F,,0,1,2,2,5,0,0.2,0.4,0.4
06/28/2017,A,08:45:00 AM,AF,F,,0,0,0,5,5,0,0,0,1
06/28/2017,A,09:30:00 AM,AF,F,,4,0,0,0,5,0.8,0,0,0
06/28/2017,A,10:15:00 AM,AF,F,,4,1,0,0,5,0.8,0.2,0,0
07/04/2017,A,10:12:00 AM,AM,M,,1,2,2,2,7,0.142857142857143,0.285714285714286,0.285714285714286,0.285714285714286
07/04/2017,A,10:32:00 AM,JV,M,,1,0,2,3,6,0.166666666666667,0,0.333333333333333,0.5
07/04/2017,A,11:32:00 AM,JV,F,,5,2,1,1,9,0.555555555555556,0.222222222222222,0.111111111111111,0.111111111111111
07/04/2017,A,11:43:00 AM,AF,F,,2,2,0,1,5,0.4,0.4,0,0.2
07/05/2017,C,11:14:00 AM,AM,M,,1,4,0,0,5,0.2,0.8,0,0
07/05/2017,C,11:26:00 AM,AF,F,,7,0,1,1,9,0.777777777777778,0,0.111111111111111,0.111111111111111
07/06/2017,C,08:19:00 AM,AF,F,,3,1,3,0,7,0.428571428571429,0.142857142857143,0.428571428571429,0
07/06/2017,C,09:23:00 AM,JV,M,,5,1,4,0,10,0.5,0.1,0.4,0
07/06/2017,C,10:14:00 AM,AM,M,,0,5,0,0,5,0,1,0,0
07/06/2017,C,11:25:00 AM,JV,F,,3,1,1,0,5,0.6,0.2,0.2,0
07/06/2017,C,12:05:00 PM,JV,F,,2,3,0,1,6,0.333333333333333,0.5,0,0.166666666666667
07/06/2017,C,12:18:00 PM,AM,M,,0,5,0,0,5,0,1,0,0
07/06/2017,C,12:34:00 PM,AF,F,,1,1,2,3,7,0.142857142857143,0.142857142857143,0.285714285714286,0.428571428571429
07/07/2017,C,08:23:00 AM,AF,F,,5,0,0,3,9,0.555555555555556,0,0,0.333333333333333
07/07/2017,C,09:50:00 AM,AM,M,,0,6,0,3,9,0,0.666666666666667,0,0.333333333333333
07/10/2017,B,09:25:00 AM,AM,M,,0,3,2,0,5,0,0.6,0.4,0
07/10/2017,B,09:51:00 AM,AM,M,,1,2,2,0,5,0.2,0.4,0.4,0
07/10/2017,B,10:08:00 AM,AF,F,,2,0,0,4,6,0.333333333333333,0,0,0.666666666666667
07/10/2017,B,11:34:00 AM,JV,F,,0,3,2,0,5,0,0.6,0.4,0
07/10/2017,B,11:41:00 AM,JV,F,,0,1,0,4,5,0,0.2,0,0.8
07/10/2017,B,12:23:00 PM,AM,M,,0,0,2,5,7,0,0,0.285714285714286,0.714285714285714
07/13/2017,A,08:02:00 AM,JV,F,,0,0,1,4,7,0,0,0.142857142857143,0.571428571428571
07/13/2017,A,08:15:00 AM,AM,M,,2,0,4,1,7,0.285714285714286,0,0.571428571428571,0.142857142857143
07/13/2017,A,08:46:00 AM,AF,F,,2,1,0,3,6,0.333333333333333,0.166666666666667,0,0.5
07/13/2017,A,09:21:00 AM,JV,F,,4,0,1,4,9,0.444444444444444,0,0.111111111111111,0.444444444444444
07/13/2017,A,09:30:00 AM,JV,M,,4,1,1,3,9,0.444444444444444,0.111111111111111,0.111111111111111,0.333333333333333
07/13/2017,A,09:45:00 AM,AM,M,,3,0,0,4,8,0.375,0,0,0.5
07/13/2017,A,09:54:00 AM,JV,F,,0,0,0,7,7,0,0,0,1
07/13/2017,A,10:02:00 AM,AF,F,,1,2,1,2,6,0.166666666666667,0.333333333333333,0.166666666666667,0.333333333333333
07/13/2017,A,10:35:00 AM,JV,M,,0,0,0,6,6,0,0,0,1
07/13/2017,A,11:15:00 AM,JV,F,,4,0,0,4,8,0.5,0,0,0.5
07/13/2017,A,11:23:00 AM,AM,M,,2,5,0,0,7,0.285714285714286,0.714285714285714,0,0
07/13/2017,A,11:34:00 AM,JV,F,,1,1,0,4,6,0.166666666666667,0.166666666666667,0,0.666666666666667
07/13/2017,A,11:50:00 AM,JV,M,,0,0,1,6,7,0,0,0.142857142857143,0.857142857142857
07/15/2017,A,04:14:00 PM,JV,M,,1,0,0,5,6,0.166666666666667,0,0,0.833333333333333
07/17/2017,A,10:16:00 AM,AF,F,,1,0,0,5,6,0.166666666666667,0,0,0.833333333333333
07/17/2017,A,10:39:00 AM,JV,F,,1,0,0,5,6,0.166666666666667,0,0,0.833333333333333
07/17/2017,A,11:04:00 AM,AM,M,,0,1,7,0,8,0,0.125,0.875,0
07/17/2017,A,11:30:00 AM,AM,M,,5,1,0,1,7,0.714285714285714,0.142857142857143,0,0.142857142857143
07/17/2017,A,11:47:00 AM,JV,M,,1,0,0,5,6,0.166666666666667,0,0,0.833333333333333
07/17/2017,A,12:16:00 PM,AM,M,,0,4,0,1,6,0,0.666666666666667,0,0.166666666666667
07/17/2017,A,12:50:00 PM,AF,F,,0,0,3,3,6,0,0,0.5,0.5
07/17/2017,A,01:24:00 PM,JV,M,,0,0,0,5,5,0,0,0,1
07/18/2017,A,09:47:00 AM,JV,M,,0,0,0,5,5,0,0,0,1
07/18/2017,A,09:58:00 AM,AM,M,,0,2,3,2,7,0,0.285714285714286,0.428571428571429,0.285714285714286
07/18/2017,A,10:36:00 AM,JV,M,,1,3,3,0,7,0.142857142857143,0.428571428571429,0.428571428571429,0
07/18/2017,A,10:47:00 AM,AM,M,,1,0,0,3,4,0.25,0,0,0.75
07/18/2017,A,11:15:00 AM,JV,F,,1,0,0,4,5,0.2,0,0,0.8
07/18/2017,A,12:16:00 PM,JV,M,,0,0,0,5,5,0,0,0,1
07/18/2017,A,12:37:00 PM,JV,F,,1,1,0,3,5,0.2,0.2,0,0.6
07/19/2017,A,09:14:00 AM,AF,F,,0,1,3,2,6,0,0.166666666666667,0.5,0.333333333333333
07/19/2017,A,10:04:00 AM,AM,M,,0,0,1,3,5,0,0,0.2,0.6
07/19/2017,A,10:14:00 AM,AM,M,,0,0,0,8,8,0,0,0,1
07/19/2017,A,10:22:00 AM,JV,M,,0,1,1,3,5,0,0.2,0.2,0.6
07/19/2017,A,11:40:00 AM,AF,F,,0,0,9,0,9,0,0,1,0
07/19/2017,A,11:52:00 AM,AM,M,,0,6,0,0,6,0,1,0,0
07/19/2017,A,11:58:00 AM,AF,F,,0,0,9,0,9,0,0,1,0
07/19/2017,A,01:03:00 PM,AF,F,,3,1,1,5,10,0.3,0.1,0.1,0.5
07/19/2017,A,01:14:00 PM,AM,M,,5,3,0,0,8,0.625,0.375,0,0
07/19/2017,A,01:23:00 PM,AF,F,,0,1,1,5,7,0,0.142857142857143,0.142857142857143,0.714285714285714
07/19/2017,A,01:30:00 PM,AF,F,,0,5,1,3,9,0,0.555555555555556,0.111111111111111,0.333333333333333
07/20/2017,B,11:20:00 AM,AF,F,,1,1,0,2,5,0.2,0.2,0,0.4
07/20/2017,B,12:19:00 PM,AM,M,,1,3,3,0,7,0.142857142857143,0.428571428571429,0.428571428571429,0
07/20/2017,B,12:39:00 PM,AM,M,,4,0,0,1,5,0.8,0,0,0.2
07/20/2017,B,01:02:00 PM,AM,M,,6,0,0,0,6,1,0,0,0
07/20/2017,B,01:14:00 PM,AF,F,,5,0,0,5,10,0.5,0,0,0.5
07/20/2017,B,01:23:00 PM,AF,F,,1,5,0,0,6,0.166666666666667,0.833333333333333,0,0
06/15/2018,A,08:08:00 AM,AM,M,,,,,,,0.888,0,0.111,0
06/16/2018,A,09:26:00 AM,JV,M,J1,,,,,,0,0.3,0,0.7
06/19/2018,A,11:06:00 AM,JV,M,J1,,,,,,0,0.286,0,0.714
06/20/2018,A,12:05:00 PM,AM,M,,,,,,,1,0,0,0
06/20/2018,A,12:18:00 PM,JV,F,J1,,,,,,0.143,0.571,0,0.286
06/20/2018,A,12:29:00 PM,JV,M,J1,,,,,,0,0,0,1
06/20/2018,A,12:39:00 PM,JV,F,J1,,,,,,0,0.4,0,0.6
06/23/2018,A,10:04:00 AM,JV,F,J1,,,,,,0,0,0,1
06/23/2018,A,11:03:00 AM,AM,M,,,,,,,0.2,0.6,0.2,0
06/23/2018,A,11:32:00 AM,JV,M,J1,,,,,,0,0.111,0,0.888
06/23/2018,A,11:49:00 AM,JV,F,J1,,,,,,0,0.4,0,0.6
06/23/2018,A,12:18:00 PM,AM,M,,,,,,,0.8,0,0.2,0
06/23/2018,A,12:42:00 PM,JV,M,J1,,,,,,0,0,0,1
06/25/2018,A,11:23:00 AM,JV,F,J1,,,,,,0.125,0.25,0,0.625
06/25/2018,A,11:50:00 AM,AM,M,,,,,,,0.6,0,0.4,0
06/25/2018,A,12:41:00 PM,JV,M,J1,,,,,,0,0.667,0.167,0.167
06/25/2018,A,01:01:00 AM,AM,M,,,,,,,0.2,0.1,0.3,0.4
06/25/2018,A,01:18:00 AM,JV,F,J1,,,,,,0,0.222,0,0.777
06/25/2018,A,01:51:00 AM,JV,F,J1,,,,,,0,0,0.2,0.8
06/25/2018,A,02:28:00 AM,JV,M,J1,,,,,,0,0.4,0,0.6
06/25/2018,A,02:35:00 AM,JV,F,J1,,,,,,0,0.6,0.2,0.2
06/26/2018,A,10:54:00 AM,AM,M,,,,,,,0,0,0.6,0.4
06/26/2018,A,11:05:00 AM,JV,F,J1,,,,,,0,0.4,0,0.6
06/26/2018,A,11:11:00 AM,JV,M,J1,,,,,,0,0.375,0,0.625
06/26/2018,A,11:35:00 AM,JV,F,J1,,,,,,0,0.4,0.2,0.4
06/26/2018,A,11:50:00 AM,JV,F,J1,,,,,,0.2,0.4,0,0.4
06/26/2018,A,12:01:00 PM,AM,M,,,,,,,0.6,0,0.4,0
06/26/2018,A,01:01:00 AM,AM,M,,,,,,,0,0.143,0.714,0.143
06/26/2018,A,01:26:00 AM,JV,F,J1,,,,,,0.167,0.333,0,0.5
06/29/2018,B,09:22:00 AM,AM,M,,,,,,,0,0.6,0,0.4
06/29/2018,B,10:22:00 AM,AM,M,,,,,,,0,0.8,0.2,0
06/29/2018,B,10:33:00 AM,AM,M,,,,,,,0.333,0.111,0.222,0.333
07/05/2018,A,10:49:00 AM,AM,M,,,,,,,0.2,0.6,0,0
07/05/2018,A,10:58:00 AM,JV,F,J1,,,,,,0,0.375,0,0.625
07/05/2018,A,11:31:00 AM,JV,M,J1,,,,,,0,0.2,0.2,0.6
07/05/2018,A,12:19:00 PM,JV,M,J1,,,,,,0.2,0.1,0,0.7
07/05/2018,A,01:17:00 AM,JV,M,J1,,,,,,0,0.1,0.1,0.8
07/06/2018,B,08:40:00 AM,AM,M,,,,,,,0.6,0,0.4,0
07/06/2018,B,10:18:00 AM,AM,M,,,,,,,0,0.666,0.222,0.111
07/06/2018,B,10:27:00 AM,JV,F,J1,,,,,,0.333,0.167,0.167,0.333
07/06/2018,B,10:46:00 AM,JV,M,J1,,,,,,0,0,0.2,0.8
07/06/2018,B,11:03:00 AM,JV,M,J1,,,,,,0,0.167,0.833,0
07/06/2018,B,11:46:00 AM,AM,M,,,,,,,0,0.5,0.167,0.333
07/06/2018,B,11:59:00 AM,AM,M,,,,,,,0.714,0,0.143,0.143
07/06/2018,B,12:07:00 PM,JV,M,J1,,,,,,0,0.444,0,0.555
07/06/2018,B,12:23:00 PM,JV,M,J1,,,,,,0,0,0,1
07/10/2018,B,09:46:00 AM,AM,M,,,,,,,0,1,0,0
07/10/2018,B,11:00:00 AM,AM,M,,,,,,,0,1,0,0
07/10/2018,B,11:08:00 AM,JV,F,J1,,,,,,0.25,0.25,0,0.5
07/10/2018,B,12:23:00 PM,JV,M,J1,,,,,,0.167,0.167,0.333,0.333
07/10/2018,B,12:49:00 PM,JV,F,J1,,,,,,0,0,0.1,0.9
07/10/2018,B,01:30:00 AM,JV,M,J1,,,,,,0,0.4,0,0.6
07/10/2018,B,01:41:00 AM,JV,M,J1,,,,,,0,0.4,0.2,0.4
