Date ,Goup,Time,Age,Sex,Juvenile age,AL mins,AF mins,AM mins,JV mins,Total mins,AL Div Total,AF Div Total,AM Div Total,JV Div Total
07/12/2018,A,05:05:00 AM,JV,M,J1,,,,,,0,0.333,0,0.667
07/13/2018,A,10:37:00 AM,AM,M,,,,,,,0.4,0,0.2,0.4
07/13/2018,A,10:54:00 AM,JV,F,J1,,,,,,0,0.667,0.167,0.167
07/13/2018,A,11:14:00 AM,JV,F,J1,,,,,,0,0.285,0,0.714
07/17/2018,B,08:48:00 AM,JV,F,J1,,,,,,0,1,0,0
07/17/2018,B,09:38:00 AM,JV,M,J1,,,,,,0,0.111,0.222,0.666
07/17/2018,B,10:27:00 AM,JV,M,J1,,,,,,0,0.111,0,0.888
07/17/2018,B,11:25:00 AM,AM,M,,,,,,,0,0.833,0,0.167
07/17/2018,B,12:29:00 PM,JV,M,J1,,,,,,0,0,0,1
07/19/2018,A,09:08:00 AM,AM,M,,,,,,,0.2,0.4,0.2,0.2
07/19/2018,A,09:28:00 AM,JV,F,J1,,,,,,0.2,0.4,0,0.4
07/19/2018,A,09:49:00 AM,JV,F,J1,,,,,,0,0.333,0,0.666
07/19/2018,A,10:24:00 AM,AM,M,,,,,,,0,1,0,0
07/19/2018,A,11:09:00 AM,AM,M,,,,,,,0.143,0.714,0.143,0
07/19/2018,A,11:54:00 AM,JV,M,J1,,,,,,0,0.5,0,0.5
07/19/2018,A,12:03:00 PM,JV,M,J1,,,,,,0,0.167,0.5,0.333
07/19/2018,A,12:33:00 PM,JV,F,J1,,,,,,0,0.167,0,0.833
07/19/2018,A,01:46:00 AM,AM,M,,,,,,,0,0.2,0.4,0.4
06/15/2017,A,11:14:00 AM,JV,F,J1,,,,,,0.1,0.2,0,0.7
06/15/2017,A,11:40:00 AM,JV,F,J1,,,,,,0.167,0,0,0.833
06/16/2017,A,10:42:00 AM,AM,M,,,,,,,0.6,0,0.4,0
06/16/2017,A,11:24:00 AM,AM,M,,,,,,,0,0.2,0,0.8
06/16/2017,A,12:14:00 PM,JV,M,J1,,,,,,0,0.4,0,0.6
06/16/2017,A,01:30:00 AM,JV,M,J1,,,,,,0.7,0,0,0.3
06/17/2017,A,10:19:00 AM,AM,M,,,,,,,1,0,0,0
06/17/2017,A,10:37:00 AM,JV,M,J1,,,,,,0.1,0,0.1,0.8
06/17/2017,A,10:56:00 AM,JV,M,J1,,,,,,0.3,0,0,0.7
06/17/2017,A,11:09:00 AM,JV,F,J1,,,,,,0,0,0.5,0.5
06/17/2017,A,11:29:00 AM,JV,M,J1,,,,,,0.2,0.2,0,0.6
06/17/2017,A,11:46:00 AM,JV,F,J1,,,,,,0,0.555,0,0.444
06/17/2017,A,12:08:00 PM,JV,M,J1,,,,,,0.4,0.4,0,0.2
06/19/2017,A,11:36:00 AM,JV,F,J1,,,,,,0.5,0.1,0,0.4
06/19/2017,A,12:15:00 PM,JV,M,J1,,,,,,0.125,0.125,0,0.625
06/19/2017,A,12:44:00 PM,JV,F,J1,,,,,,0.167,0,0.167,0.667
06/21/2017,A,10:28:00 AM,AM,M,,,,,,,0.286,0,0,0.714
06/21/2017,A,11:25:00 AM,JV,F,J1,,,,,,0,0.4,0,0.6
06/21/2017,A,11:47:00 AM,AM,M,,,,,,,0.6,0,0,0.4
06/21/2017,A,12:24:00 PM,JV,M,J1,,,,,,0.4,0,0.1,0.5
06/21/2017,A,12:57:00 PM,JV,M,J1,,,,,,0,0,0.375,0.625
06/21/2017,A,01:07:00 AM,JV,F,J1,,,,,,0,0,0,1
06/21/2017,A,02:01:00 AM,JV,M,J1,,,,,,0.5,0,0.167,0.333
06/21/2017,A,02:11:00 AM,JV,M,J1,,,,,,0.2,0.4,0,0.4
06/21/2017,A,02:27:00 AM,JV,M,J1,,,,,,0,0.333,0,0.667
06/23/2017,A,10:44:00 AM,JV,M,J1,,,,,,0,0,0.2,0.8
06/23/2017,A,11:03:00 AM,JV,M,J1,,,,,,0,0.2,0.1,0.7
06/23/2017,A,11:15:00 AM,JV,F,J1,,,,,,0,0.167,0,0.833
06/23/2017,A,12:06:00 PM,AM,M,,,,,,,0,0.1,0,0.9
06/23/2017,A,12:17:00 PM,AM,M,,,,,,,1,0,0,0
06/23/2017,A,01:14:00 AM,AM,M,,,,,,,0.6,0.3,0,0.1
06/27/2017,A,11:19:00 AM,AM,M,,,,,,,0.7,0.1,0,0.2
06/27/2017,A,12:05:00 PM,AM,M,,,,,,,0.833,0.167,0,0
06/27/2017,A,12:27:00 PM,AM,M,,,,,,,0.5,0,0.5,0
06/27/2017,A,12:48:00 PM,JV,M,J1,,,,,,0.167,0.5,0,0.333
06/27/2017,A,12:59:00 PM,AM,M,,,,,,,0.5,0,0.5,0
06/27/2017,A,01:39:00 AM,AM,M,,,,,,,0.222,0.333,0,0.444
06/28/2017,B,11:22:00 AM,AM,M,,,,,,,0.5,0.167,0,0.333
07/01/2017,B,11:43:00 AM,JV,F,J1,,,,,,0.375,0.125,0.125,0.375
07/04/2017,A,09:45:00 AM,JV,M,J1,,,,,,0,0,0,1
07/04/2017,A,10:10:00 AM,JV,F,J1,,,,,,0.2,0.4,0,0.4
07/04/2017,A,10:52:00 AM,JV,M,J1,,,,,,0.777,0,0,0.222
07/04/2017,A,11:06:00 AM,AM,M,,,,,,,0.8,0,0,0.2
07/04/2017,A,11:51:00 AM,JV,F,J1,,,,,,0.333,0,0.167,0.5
07/05/2017,C,10:08:00 AM,AM,M,,,,,,,0.6,0.2,0.2,0
07/05/2017,C,10:56:00 AM,JV,M,,,,,,,0.5,0.25,0.125,0.125
07/05/2017,C,11:09:00 AM,AM,M,,,,,,,0.9,0.1,0,0
07/06/2017,C,09:52:00 AM,AM,M,,,,,,,0.6,0.2,0.2,0
07/06/2017,C,10:13:00 AM,JV,M,J1,,,,,,0.5,0.167,0.167,0.167
07/06/2017,C,10:19:00 AM,JV,F,J1,,,,,,0.4,0.2,0,0.4
07/06/2017,C,10:59:00 AM,JV,M,J1,,,,,,0.429,0.143,0.143,0.286
07/06/2017,C,11:18:00 AM,AM,M,,,,,,,0.833,0,0.167,0
07/06/2017,C,11:26:00 AM,JV,M,J1,,,,,,0.444,0.222,0,0.333
07/06/2017,C,12:04:00 PM,JV,M,J1,,,,,,0.333,0.222,0,0.444
07/06/2017,C,12:17:00 PM,JV,F,J1,,,,,,0.4,0.4,0,0.2
07/06/2017,C,12:34:00 PM,JV,M,J1,,,,,,0.2,0.4,0.1,0.3
07/06/2017,C,12:47:00 PM,JV,M,J1,,,,,,0.444,0.111,0,0.444
07/07/2017,C,08:21:00 AM,AM,M,,,,,,,0.8,0.2,0,0
07/07/2017,C,08:28:00 AM,JV,M,J1,,,,,,0.5,0.333,0,0.167
07/07/2017,C,09:41:00 AM,AM,M,,,,,,,1,0,0,0
07/07/2017,C,09:55:00 AM,JV,M,J1,,,,,,0.125,0.5,0.125,0.25
07/07/2017,C,10:17:00 AM,JV,M,J1,,,,,,0.333,0,0,0.667
07/07/2017,C,10:31:00 AM,AM,M,,,,,,,0.167,0.667,0.167,0
07/07/2017,C,10:53:00 AM,JV,F,J1,,,,,,0.2,0.2,0.2,0.4
07/07/2017,C,11:23:00 AM,AM,M,,,,,,,0.111,0.777,0,0
07/07/2017,C,12:07:00 PM,JV,F,J1,,,,,,0.222,0.444,0.111,0.222
07/07/2017,C,12:40:00 PM,AM,M,,,,,,,0.333,0.5,0.167,0
07/08/2017,B,08:34:00 AM,JV,F,J1,,,,,,0.8,0,0.2,0
07/08/2017,B,08:57:00 AM,AM,M,,,,,,,0.888,0,0.111,0
07/08/2017,B,10:02:00 AM,JV,F,J1,,,,,,0.333,0.333,0,0.333
07/08/2017,B,10:54:00 AM,JV,F,J1,,,,,,0.5,0.3,0,0.2
07/11/2017,B,11:22:00 AM,JV,F,J1,,,,,,0.333,0.333,0,0.333
07/11/2017,B,01:08:00 AM,JV,F,J1,,,,,,0,0.667,0,0.333
07/15/2017,A,04:37:00 AM,JV,F,J1,,,,,,0,0,0,1
07/15/2017,A,05:03:00 AM,JV,M,J1,,,,,,0,0,0,1
07/17/2017,A,09:01:00 AM,JV,M,J1,,,,,,0.4,0.2,0,0.4
07/17/2017,A,09:12:00 AM,JV,F,J1,,,,,,0.1,0,0,0.9
07/17/2017,A,09:31:00 AM,JV,F,J1,,,,,,0.667,0.222,0,0.111
07/17/2017,A,09:59:00 AM,JV,M,J1,,,,,,0.5,0.3,0,0.2
07/17/2017,A,10:18:00 AM,JV,F,J1,,,,,,0,0,0,1
07/17/2017,A,11:02:00 AM,JV,M,,,,,,,0.286,0,0,0.714
07/17/2017,A,11:19:00 AM,AM,M,,,,,,,0.333,0.5,0.167,0
07/17/2017,A,11:34:00 AM,AM,M,,,,,,,0.167,0.333,0.5,0
07/17/2017,A,11:46:00 AM,AM,M,,,,,,,0.143,0.429,0.286,0.143
07/17/2017,A,11:53:00 AM,JV,M,J1,,,,,,0.143,0.429,0,0.429
07/17/2017,A,12:02:00 PM,JV,F,J1,,,,,,0.333,0,0,0.667
07/17/2017,A,12:15:00 PM,JV,F,J1,,,,,,0,0.625,0,0.375
07/17/2017,A,12:43:00 PM,JV,F,J1,,,,,,0,0.1,0,0.9
07/17/2017,A,01:07:00 AM,JV,M,J1,,,,,,0,0.1,0,0.9
07/17/2017,A,01:27:00 AM,AM,M,,,,,,,0.3,0.7,0,0
07/17/2017,A,01:43:00 AM,JV,F,J1,,,,,,0,0.2,0,0.8
07/18/2017,A,09:25:00 AM,JV,F,J1,,,,,,0.2,0,0,0.8
07/18/2017,A,09:36:00 AM,JV,F,J1,,,,,,0.167,0.5,0,0.333
07/18/2017,A,09:57:00 AM,JV,M,J1,,,,,,0.2,0.2,0,0.6
07/18/2017,A,10:06:00 AM,JV,F,J1,,,,,,0.125,0.625,0,0.25
07/18/2017,A,10:23:00 AM,JV,F,J1,,,,,,0,0.333,0,0.667
07/18/2017,A,10:32:00 AM,JV,F,J1,,,,,,0,0.111,0,0.889
07/18/2017,A,11:36:00 AM,JV,M,J1,,,,,,0,0.111,0,0.889
07/18/2017,A,11:46:00 AM,JV,F,J1,,,,,,0.167,0,0,0.833
07/18/2017,A,12:12:00 PM,JV,M,J1,,,,,,0.167,0.167,0,0.667
07/18/2017,A,12:19:00 PM,JV,M,J1,,,,,,0,0,0,1
07/18/2017,A,12:28:00 PM,JV,F,J1,,,,,,0.555,0,0,0.444
07/18/2017,A,12:37:00 PM,JV,F,J1,,,,,,0,0,0,1
07/18/2017,A,12:45:00 PM,AM,M,,,,,,,0.6,0.2,0.2,0
07/18/2017,A,12:56:00 PM,AM,M,,,,,,,0,0.2,0,0.8
07/19/2017,A,09:07:00 AM,JV,F,,,,,,,0.2,0.2,0,0.6
07/19/2017,A,09:27:00 AM,AM,M,,,,,,,0.167,0.833,0,0
07/19/2017,A,09:33:00 AM,AM,M,,,,,,,0.5,0.2,0.3,0
07/19/2017,A,09:46:00 AM,JV,M,J1,,,,,,0,0.143,0,0.857
07/19/2017,A,10:07:00 AM,JV,M,J1,,,,,,0.143,0.429,0,0.429
07/19/2017,A,10:14:00 AM,JV,M,J1,,,,,,0.2,0.2,0.1,0.5
07/19/2017,A,10:23:00 AM,JV,F,J1,,,,,,0,0.111,0.333,0.555
07/19/2017,A,10:34:00 AM,AM,M,,,,,,,0.5,0.333,0.167,0
07/19/2017,A,10:41:00 AM,JV,F,J1,,,,,,0,0.333,0,0.667
07/19/2017,A,11:07:00 AM,JV,F,J1,,,,,,0,0.333,0.167,0.5
07/19/2017,A,11:37:00 AM,JV,M,J1,,,,,,0.143,0.143,0,0.714
07/19/2017,A,11:49:00 AM,JV,M,J1,,,,,,0,1,0,0
07/19/2017,A,12:13:00 PM,AM,M,,,,,,,0.6,0,0.3,0.1
07/19/2017,A,12:59:00 PM,JV,F,J1,,,,,,0,0.3,0,0.7
07/19/2017,A,01:10:00 AM,JV,M,J1,,,,,,0,0.4,0,0.6
07/19/2017,A,01:15:00 AM,JV,F,J1,,,,,,0,0.6,0,0.4
07/19/2017,A,01:21:00 AM,AM,M,,,,,,,0.1,0.7,0.1,0.1
07/19/2017,A,01:31:00 AM,JV,F,J1,,,,,,0.111,0.555,0,0.333
07/20/2017,B,10:12:00 AM,AM,M,,,,,,,0.571,0.429,0,0
07/20/2017,B,10:35:00 AM,JV,F,J1,,,,,,0,0.167,0.333,0.5
07/20/2017,B,10:54:00 AM,JV,M,J1,,,,,,0.5,0.25,0.125,0.125
07/20/2017,B,11:04:00 AM,AM,M,,,,,,,0.429,0.286,0.286,0
07/20/2017,B,11:12:00 AM,JV,M,J1,,,,,,0.7,0.2,0,0.1
07/20/2017,B,11:30:00 AM,JV,M,J1,,,,,,0.7,0.1,0,0.2
07/20/2017,B,12:14:00 PM,JV,M,J1,,,,,,0.333,0.167,0,0.5
07/20/2017,B,12:20:00 PM,AM,M,,,,,,,0.143,0.429,0.429,0
07/20/2017,B,12:42:00 PM,JV,M,J1,,,,,,0.4,0.6,0,0
07/20/2017,B,01:03:00 AM,JV,M,J1,,,,,,0,0.667,0,0.333
07/20/2017,B,01:10:00 AM,AM,M,,,,,,,0,0.777,0,0.222
07/20/2017,B,01:20:00 AM,JV,M,J1,,,,,,0,0.3,0,0.7
07/22/2017,A,10:27:00 AM,AM,M,,,,,,,0.444,0.222,0.333,0
07/22/2017,A,11:39:00 AM,AM,M,,,,,,,0.571,0.286,0.143,0
06/25/2018,A,10:25:00 AM,JV,M,J2,,,,,,0.6,0,0.2,0.2
06/25/2018,A,11:10:00 AM,AM,M,,,,,,,0.2,0.4,0,0.4
06/25/2018,A,12:47:00 PM,JV,M,J2,,,,,,0,0,0,1
06/25/2018,A,01:37:00 AM,JV,F,J1,,,,,,0.6,0,0.2,0.2
06/26/2018,A,10:40:00 AM,JV,M,J2,,,,,,0,0,0.29,0.71
06/26/2018,A,11:07:00 AM,AM,M,,,,,,,0.2,0,0.6,0.2
06/26/2018,A,11:25:00 AM,AM,M,,,,,,,0.33,0,0,0.67
06/26/2018,A,11:45:00 AM,JV,F,J2,,,,,,0.4,0.2,0,0.4
06/26/2018,A,01:20:00 AM,JV,F,J1,,,,,,0.4,0,0,0.6
06/26/2018,A,02:00:00 AM,AM,M,,,,,,,0,0,0.2,0.8
06/26/2018,A,10:05:00 AM,AM,M,,,,,,,0.4,0,0.6,0
06/28/2018,A,08:09:00 AM,AF,F,,,,,,,0,0.4,0,0.6
06/28/2018,A,08:45:00 AM,JV,F,J2,,,,,,0.6,0.4,0,0
06/28/2018,A,09:40:00 AM,AM,M,,,,,,,0.2,0,0.4,0.4
06/28/2018,A,09:56:00 AM,JV,M,J2,,,,,,0.8,0,0,0.2
06/28/2018,A,10:06:00 AM,JV,M,J1,,,,,,0.4,0.4,0,0.2
06/28/2018,A,11:10:00 AM,JV,F,J2,,,,,,0.29,0,0,0.71
06/28/2018,A,11:45:00 AM,AM,M,,,,,,,0.2,0.2,0.4,0.2
06/28/2018,A,12:05:00 PM,JV,M,J2,,,,,,0.6,0,0,0.4
06/29/2018,B,09:20:00 AM,JV,F,J2,,,,,,0.33,0.165,0.165,0.34
07/03/2018,B,09:25:00 AM,JV,F,J2,,,,,,0.5,0,0.5,0
07/03/2018,B,09:39:00 AM,AF,F,,,,,,,0,0.14,0,0.86
07/03/2018,B,10:43:00 AM,JV,F,J2,,,,,,0.2,0,0,0.8
07/03/2018,B,10:53:00 AM,JV,F,J1,,,,,,0.2,0.4,0.2,0.2
07/05/2018,A,10:51:00 AM,AF,F,,,,,,,0.29,0.286,0.42,0
07/05/2018,A,11:03:00 AM,JV,F,J2,,,,,,0.4,0.4,0.2,0
07/05/2018,A,12:25:00 PM,JV,F,J2,,,,,,0.17,0.5,0,0.33
07/05/2018,A,01:02:00 AM,JV,M,J2,,,,,,0.2,0.8,0,0
07/05/2018,A,01:20:00 AM,JV,F,J1,,,,,,0,0.33,0,0.67
07/06/2018,B,08:35:00 AM,AF,F,,,,,,,0.57,0.1432,0.285,0
07/06/2018,B,09:00:00 AM,AM,M,,,,,,,0,0.285,0.285,0.43
07/06/2018,B,10:25:00 AM,AM,M,,,,,,,0.14,0.29,0,0.57
07/06/2018,B,11:50:00 AM,AM,M,,,,,,,0.14,0.714,0.143,0
07/06/2018,B,12:06:00 PM,AF,F,,,,,,,0,0.29,0,0.71
07/06/2018,B,12:19:00 PM,JV,M,J2,,,,,,0.2,0.6,0,0.2
07/09/2018,B,08:50:00 AM,JV,F,J1,,,,,,0,0,0,0.8
07/09/2018,B,09:28:00 AM,AM,M,,,,,,,0,0.2,0.6,0.2
07/10/2018,B,09:37:00 AM,JV,F,J2,,,,,,0,0.143,0.428,0.43
07/10/2018,B,10:07:00 AM,JV,M,J1,,,,,,0,0.33,0.17,0.4
07/10/2018,B,10:41:00 AM,AF,F,,,,,,,0,0.8,0.1,0.1
07/13/2018,A,10:32:00 AM,JV,F,J2,,,,,,0.33,0.33,0.17,0.17
07/16/2018,A,08:37:00 AM,AM,M,,,,,,,0.11,0.77,0.11,0.11
07/16/2018,A,10:04:00 AM,JV,F,J1,,,,,,0.29,0,0.29,0.42
07/16/2018,A,11:55:00 AM,AF,F,,,,,,,0,0.2,0.2,0.6
07/16/2018,A,12:35:00 PM,JV,F,J2,,,,,,0,0,0.17,0.83
07/17/2018,B,08:29:00 AM,JV,F,J2,,,,,,0.13,0.145,0.145,0.58
07/17/2018,B,10:15:00 AM,JV,F,J1,,,,,,0.17,0,0,0.83
07/17/2018,B,11:30:00 AM,JV,F,J1,,,,,,0.12,0.25,0.25,0.38
07/19/2018,A,09:38:00 AM,AF,F,,,,,,,0,0,0.66,0.33
07/19/2018,A,10:30:00 AM,AF,F,,,,,,,0.22,0.11,0.22,0.44
07/19/2018,A,10:45:00 AM,JV,F,J1,,,,,,0,0,0,1
07/19/2018,A,11:13:00 AM,JV,M,J1,,,,,,0.5,0.25,0.125,0.125
07/19/2018,A,11:22:00 AM,AF,F,,,,,,,0,0.17,0,0.84
07/19/2018,A,11:56:00 AM,JV,M,J1,,,,,,0,0.17,0.33,0.5
07/19/2018,A,12:37:00 PM,JV,F,J2,,,,,,0,0,0.5,0.4
07/20/2018,A,08:30:00 AM,JV,F,J1,,,,,,0.2,0.4,0,0.4
07/20/2018,A,09:05:00 AM,AM,M,,,,,,,0,1,0,0
07/20/2018,A,10:03:00 AM,JV,M,J1,,,,,,0.14,0.285,0.285,0.29
07/20/2018,A,10:50:00 AM,JV,F,J1,,,,,,0,0.4,0,0.6
07/24/2018,A,09:35:00 AM,AM,M,,,,,,,0,0.83,0.17,0
07/24/2018,A,10:10:00 AM,JV,F,J1,,,,,,0.17,0.17,0.33,0.33
07/24/2018,A,10:45:00 AM,JV,M,J2,,,,,,0.43,0.29,0.14,0.14
07/25/2018,A,09:30:00 AM,JV,F,J1,,,,,,0,0.4,0,0.6
07/25/2018,A,10:00:00 AM,AM,M,,,,,,,0.17,0.5,0,0.34
07/25/2018,A,12:00:00 PM,JV,F,J2,,,,,,0,0.125,0.625,0.25
07/25/2018,A,12:20:00 PM,JV,M,J2,,,,,,0,0,0,1
